INFO  - 2013-06-26 16:31:25.671; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:31:25.671; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:31:25.674; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-06-26 16:31:25.674; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-06-26 16:31:25.674; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2013-06-26 16:31:25.674; org.apache.solr.core.RequestHandlers; created /admin/: org.apache.solr.handler.admin.AdminHandlers
INFO  - 2013-06-26 16:31:25.677; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-06-26 16:31:25.677; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
WARN  - 2013-06-26 16:31:25.683; org.apache.solr.core.RequestHandlers; Multiple default requestHandler registered ignoring: org.apache.solr.handler.StandardRequestHandler
WARN  - 2013-06-26 16:31:25.683; org.apache.solr.core.RequestHandlers; Multiple default requestHandler registered ignoring: org.apache.solr.handler.StandardRequestHandler
INFO  - 2013-06-26 16:31:25.683; org.apache.solr.core.RequestHandlers; created /solr: solr.SearchHandler
INFO  - 2013-06-26 16:31:25.683; org.apache.solr.core.RequestHandlers; created /solr: solr.SearchHandler
INFO  - 2013-06-26 16:31:25.685; org.apache.solr.core.RequestHandlers; created /pdap: gov.nasa.pds.search.PDAPHandler
INFO  - 2013-06-26 16:31:25.685; org.apache.solr.core.RequestHandlers; created /pdap: gov.nasa.pds.search.PDAPHandler
INFO  - 2013-06-26 16:31:25.686; org.apache.solr.core.RequestHandlers; created /search: gov.nasa.pds.search.PDSSearchProtocol
INFO  - 2013-06-26 16:31:25.686; org.apache.solr.core.RequestHandlers; created /search: gov.nasa.pds.search.PDSSearchProtocol
INFO  - 2013-06-26 16:31:25.700; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-06-26 16:31:25.700; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-06-26 16:31:25.728; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@497b1c02 main
INFO  - 2013-06-26 16:31:25.750; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
INFO  - 2013-06-26 16:31:25.751; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-06-26 16:31:25.780; org.apache.solr.core.SolrCore; [experimental] Registered new searcher Searcher@497b1c02 main{StandardDirectoryReader(segments_1:1319486777553)}
INFO  - 2013-06-26 16:31:25.781; org.apache.solr.core.CoreContainer; registering core: experimental
INFO  - 2013-06-26 16:31:25.785; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3bd48043 main
INFO  - 2013-06-26 16:31:25.794; org.apache.solr.update.CommitTracker; Hard AutoCommit: disabled
